                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7264,                 7.4779,                 5.7395,                  4.215,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4968,                 5.1549,                 5.2924,                 4.1614,             0.00014857,             0.00014857,             0.00014857
                      2,                 3.3414,                 3.8361,                 4.8932,                 3.8421,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.6535,                 4.7269,                 5.2221,                 4.3266,             0.00029875,             0.00029875,             0.00029875
                      3,                 2.9234,                 3.0961,                 4.1316,                  3.447,                0.78726,                0.09722,                 0.1695,                 0.0727,                0.76688,                0.05787,                0.10709,                0.04562,                  2.639,                 4.6646,                 4.1416,                 3.5194,             0.00044743,             0.00044743,             0.00044743
                      4,                 2.6186,                 2.5444,                 3.5648,                 3.1017,                0.80765,                0.14137,                0.14117,                0.07164,                0.26249,                 0.2608,                  0.126,                0.05901,                 2.6083,                  5.056,                 17.683,                 3.6262,             0.00044824,             0.00044824,             0.00044824
                      5,                 2.3781,                 2.0654,                 3.0642,                 2.8587,                0.42356,                0.20255,                0.22486,                0.12313,                0.41935,                0.15178,                0.20449,                0.10378,                 2.2048,                 3.2028,                 3.8204,                 3.0589,             0.00044824,             0.00044824,             0.00044824
                      6,                 2.1632,                 1.6495,                 2.7265,                  2.606,                0.56024,                0.49509,                 0.5737,                0.35658,                0.49317,                 0.5499,                0.58267,                0.39067,                 1.7766,                 1.6535,                 2.2494,                 2.5818,             0.00044599,             0.00044599,             0.00044599
                      7,                 2.0456,                 1.4528,                 2.4943,                 2.4561,                0.33019,                0.58689,                0.55433,                0.34099,                0.36043,                0.56416,                0.55968,                0.31027,                  1.739,                  2.205,                 2.1008,                 2.4141,             0.00044374,             0.00044374,             0.00044374
                      8,                 1.8837,                 1.3748,                 2.2956,                 2.2847,                0.51349,                0.61278,                0.63249,                0.42169,                0.47961,                0.61509,                0.63358,                0.45139,                 1.6287,                 1.5103,                 2.4683,                 2.3302,             0.00044149,             0.00044149,             0.00044149
                      9,                 1.7758,                 1.2443,                 2.1933,                 2.2207,                0.59763,                0.72475,                0.76559,                0.53358,                0.57164,                0.72012,                0.75844,                0.59551,                 1.4793,                 1.0635,                 1.8219,                 2.1205,             0.00043923,             0.00043923,             0.00043923
                     10,                 1.6101,                 1.0553,                  2.024,                 2.0637,                0.64355,                0.73871,                0.80252,                0.53996,                0.64255,                0.73501,                0.79937,                0.60381,                 1.4311,                0.99248,                 1.5532,                 2.0938,             0.00043698,             0.00043698,             0.00043698
                     11,                 1.5269,                 1.0877,                 1.8886,                 1.9988,                0.62808,                0.68897,                0.74363,                0.53647,                0.63358,                0.69592,                0.75299,                0.58157,                 1.3318,                 1.1169,                 1.9181,                 1.9724,             0.00043473,             0.00043473,             0.00043473
                     12,                 1.4204,                 1.0338,                 1.7641,                 1.8943,                0.70357,                0.79979,                0.78079,                0.59378,                0.70097,                0.79123,                0.78758,                0.61282,                 1.2277,                0.82196,                 1.3973,                 1.8791,             0.00043248,             0.00043248,             0.00043248
                     13,                 1.3752,                0.90571,                 1.7176,                 1.8332,                 0.5453,                0.83537,                0.78963,                0.59695,                0.54808,                0.83371,                0.79052,                0.62647,                 1.3004,                 1.0018,                 1.6019,                 1.8781,             0.00043023,             0.00043023,             0.00043023
                     14,                 1.2624,                0.92384,                 1.5726,                 1.7277,                0.73526,                0.81491,                0.83198,                 0.6813,                0.74069,                0.82186,                0.83688,                0.70702,                 1.0802,                0.77836,                 1.2758,                 1.6922,             0.00042797,             0.00042797,             0.00042797
                     15,                 1.2642,                0.90954,                 1.5955,                 1.6786,                0.66385,                0.89923,                0.83958,                0.69011,                0.66566,                0.90154,                0.84327,                0.70795,                0.97662,                0.83009,                 1.2592,                 1.6326,             0.00042572,             0.00042572,             0.00042572
                     16,                 1.2059,                0.83325,                 1.5006,                 1.6177,                0.72339,                0.80226,                0.81567,                0.66481,                 0.7292,                 0.8092,                0.82382,                  0.694,                 1.0308,                0.76537,                 1.2371,                  1.574,             0.00042347,             0.00042347,             0.00042347
                     17,                 1.1906,                0.84317,                 1.4893,                 1.5851,                0.66985,                0.83383,                0.82962,                 0.7005,                0.67567,                0.84077,                0.83947,                0.71172,                0.93746,                0.76072,                 1.2753,                 1.5056,             0.00042122,             0.00042122,             0.00042122
                     18,                  1.109,                0.79091,                 1.4076,                 1.5369,                0.69051,                0.82506,                0.79778,                0.66807,                0.69933,                0.83179,                0.81116,                0.68491,                 0.9114,                0.71334,                 1.2525,                 1.4723,             0.00041896,             0.00041896,             0.00041896
                     19,                 1.1157,                0.75507,                 1.3753,                 1.5281,                0.69432,                0.88129,                0.82839,                0.70549,                0.69973,                0.88808,                0.83701,                0.71076,                 0.9124,                0.72489,                 1.1449,                 1.4857,             0.00041671,             0.00041671,             0.00041671
                     20,                 1.0711,                0.70704,                 1.3254,                 1.4548,                0.75432,                0.85477,                0.81744,                0.68247,                  0.761,                0.86046,                0.82686,                0.70565,                0.95944,                0.75237,                 1.2125,                 1.4586,             0.00041446,             0.00041446,             0.00041446
                     21,                 1.0736,                0.72276,                 1.3301,                 1.4502,                0.68809,                0.89336,                0.84036,                0.71376,                0.68809,                0.89336,                0.84194,                0.72769,                0.86631,                 0.6795,                 1.0421,                 1.4101,             0.00041221,             0.00041221,             0.00041221
                     22,                 1.0359,                0.70332,                 1.2774,                 1.4174,                0.66537,                0.91829,                0.83005,                0.70233,                0.66537,                0.91829,                0.83005,                0.72621,                 0.8509,                0.70858,                0.97462,                 1.3719,             0.00040995,             0.00040995,             0.00040995
                     23,                0.98662,                0.69265,                 1.2028,                 1.3773,                0.78244,                0.89774,                0.85036,                0.75111,                0.78244,                0.89774,                0.84832,                 0.7452,                0.75084,                0.66653,                0.90452,                 1.3142,              0.0004077,              0.0004077,              0.0004077
                     24,                0.93529,                0.68855,                 1.2146,                 1.3551,                0.71439,                0.87611,                0.84927,                 0.7533,                0.71207,                0.87321,                0.84378,                0.74414,                0.75854,                0.72291,                0.96127,                 1.3162,             0.00040545,             0.00040545,             0.00040545
                     25,                0.98233,                0.72152,                 1.2451,                 1.3597,                0.71682,                0.87459,                0.83701,                0.73129,                0.71682,                0.87459,                0.83878,                0.72556,                 0.7665,                0.78242,                0.98798,                  1.286,              0.0004032,              0.0004032,              0.0004032
                     26,                0.95016,                0.69995,                 1.1679,                 1.3337,                0.73089,                0.90299,                 0.8782,                  0.757,                0.74016,                0.91457,                0.89342,                0.76026,                0.78157,                0.70086,                0.93027,                 1.3259,             0.00040095,             0.00040095,             0.00040095
                     27,                0.90133,                0.68563,                 1.1498,                 1.3115,                0.68726,                0.91813,                0.82031,                0.72874,                0.69194,                0.92466,                0.83198,                0.72658,                0.75775,                0.68244,                0.93571,                 1.2964,             0.00039869,             0.00039869,             0.00039869
                     28,                0.89653,                0.62126,                 1.1556,                 1.3049,                0.69946,                0.91666,                  0.873,                0.77409,                0.71202,                0.92923,                0.88617,                0.76694,                0.70922,                 0.7189,                0.98913,                 1.2352,             0.00039644,             0.00039644,             0.00039644
                     29,                 0.8716,                0.62727,                  1.133,                 1.2792,                 0.7327,                0.88561,                0.84095,                0.71372,                0.73448,                0.88885,                0.84385,                0.73323,                0.79617,                0.78765,                0.94994,                 1.2866,             0.00039419,             0.00039419,             0.00039419
                     30,                0.84539,                0.61678,                 1.0831,                 1.2822,                0.73896,                 0.8932,                0.83439,                0.72598,                0.73896,                 0.8932,                0.83293,                0.73562,                0.73181,                0.74517,                0.87093,                 1.2357,             0.00039194,             0.00039194,             0.00039194
                     31,                0.83221,                0.63009,                 1.0446,                 1.2481,                0.75161,                0.91102,                0.83718,                 0.7537,                 0.7618,                0.92908,                0.84894,                0.72623,                0.66324,                 0.7059,                 0.8697,                 1.1877,             0.00038968,             0.00038968,             0.00038968
                     32,                0.83695,                0.69362,                 1.0719,                  1.242,                0.81719,                0.82735,                0.84996,                0.74483,                0.82241,                0.83429,                0.85935,                0.73986,                0.72002,                0.67765,                0.95232,                 1.2189,             0.00038743,             0.00038743,             0.00038743
                     33,                0.83668,                0.59066,                 1.0469,                 1.2296,                0.80772,                0.85489,                0.82453,                0.73544,                0.80772,                0.85489,                0.82453,                0.70065,                0.68687,                0.67843,                0.88575,                 1.1641,             0.00038518,             0.00038518,             0.00038518
                     34,                 0.7827,                0.63921,                 1.0185,                 1.2008,                0.75102,                 0.9157,                0.86359,                0.77787,                0.74817,                0.91166,                0.85935,                0.74971,                 0.6277,                 0.7516,                0.83908,                 1.1501,             0.00038293,             0.00038293,             0.00038293
                     35,                0.79837,                0.62196,                 1.0027,                 1.1897,                 0.7227,                0.91354,                0.82985,                0.76139,                0.72767,                0.91933,                0.83716,                0.73327,                0.59415,                0.65542,                0.82348,                 1.1266,             0.00038068,             0.00038068,             0.00038068
                     36,                 0.7824,                0.59856,                0.96496,                 1.1848,                0.73918,                0.86618,                0.84974,                0.78269,                0.73269,                0.86155,                0.84363,                0.75624,                0.59601,                0.68027,                0.89314,                 1.1083,             0.00037842,             0.00037842,             0.00037842
                     37,                 0.7816,                0.57883,                0.99153,                 1.1871,                0.73466,                0.90819,                0.84633,                0.75875,                0.73516,                0.90807,                0.84381,                0.73018,                0.65335,                0.73216,                0.89895,                 1.1572,             0.00037617,             0.00037617,             0.00037617
                     38,                0.75079,                0.60351,                0.92957,                 1.1824,                0.80202,                0.86089,                0.86476,                0.78419,                0.80775,                0.86788,                0.86182,                0.77226,                0.63619,                0.64128,                0.78884,                 1.1142,             0.00037392,             0.00037392,             0.00037392
                     39,                0.77715,                0.59418,                0.99536,                 1.1993,                0.75989,                0.88787,                0.86665,                0.79954,                0.75989,                0.88787,                 0.8643,                0.77068,                0.58693,                0.66823,                0.82227,                 1.1126,             0.00037167,             0.00037167,             0.00037167
                     40,                0.76134,                0.55118,                0.95587,                 1.1636,                0.82193,                0.87501,                  0.866,                0.79128,                0.82692,                0.88195,                0.87621,                 0.7617,                0.63601,                0.65834,                0.83521,                 1.1284,             0.00036941,             0.00036941,             0.00036941
                     41,                0.74505,                0.54633,                0.95593,                 1.1612,                0.74997,                0.88281,                0.86366,                0.77601,                0.74901,                0.88327,                0.86338,                 0.7728,                0.64607,                0.68934,                0.83557,                 1.1114,             0.00036716,             0.00036716,             0.00036716
                     42,                0.75157,                0.56202,                0.95199,                 1.1486,                0.76372,                0.92576,                0.87008,                0.79288,                0.76953,                0.93271,                0.87089,                0.79168,                0.58193,                0.65351,                0.90107,                 1.0948,             0.00036491,             0.00036491,             0.00036491
                     43,                0.74485,                0.57598,                0.94131,                 1.1399,                0.78069,                0.90471,                0.88999,                0.81453,                0.77809,                0.91031,                0.88985,                0.78387,                0.57293,                0.70997,                0.79634,                 1.0713,             0.00036266,             0.00036266,             0.00036266
                     44,                0.72364,                0.57741,                0.92378,                 1.1318,                0.71902,                0.88624,                0.86707,                0.78848,                0.72489,                0.89043,                0.87037,                0.76004,                0.62967,                0.69336,                0.81133,                 1.0913,             0.00036041,             0.00036041,             0.00036041
                     45,                0.71039,                0.58682,                0.88036,                 1.1443,                0.79874,                0.88318,                0.87153,                0.80652,                0.80472,                0.89012,                0.87655,                0.78046,                0.55655,                0.72956,                0.75243,                 1.0406,             0.00035815,             0.00035815,             0.00035815
                     46,                0.71532,                0.55556,                0.87206,                 1.1245,                0.74491,                0.94587,                0.85868,                0.79881,                0.75552,                0.91561,                0.86637,                0.77527,                0.56625,                0.68274,                0.80157,                 1.0739,              0.0003559,              0.0003559,              0.0003559
                     47,                0.69258,                0.52193,                0.86949,                  1.119,                0.70813,                0.89151,                0.86336,                0.79567,                0.71327,                0.89846,                0.86719,                0.76753,                0.58869,                  0.695,                0.76268,                 1.0697,             0.00035365,             0.00035365,             0.00035365
                     48,                0.69634,                0.54988,                0.86686,                 1.0964,                0.75179,                0.92067,                0.85946,                0.80389,                0.75179,                0.92067,                0.85772,                0.76314,                0.52475,                0.71965,                0.78375,                 1.0413,              0.0003514,              0.0003514,              0.0003514
                     49,                0.67756,                0.51484,                0.86818,                 1.1063,                0.75251,                 0.9438,                0.88638,                0.82546,                0.75433,                0.93892,                0.88391,                0.77833,                0.51571,                0.66814,                0.72949,                 1.0193,             0.00034914,             0.00034914,             0.00034914
                     50,                0.66524,                 0.5379,                0.84639,                 1.0785,                0.71843,                0.95373,                0.88366,                0.80084,                0.70931,                0.94891,                0.87413,                0.77565,                0.58801,                0.56878,                0.70163,                 1.0468,             0.00034689,             0.00034689,             0.00034689
                     51,                0.65942,                0.52066,                0.83479,                  1.079,                 0.7217,                0.93873,                0.88114,                0.82352,                 0.7216,                0.94105,                0.88209,                0.79038,                0.52929,                0.61336,                0.70685,                 1.0349,             0.00034464,             0.00034464,             0.00034464
                     52,                0.66543,                0.54231,                0.85978,                 1.0842,                0.76229,                0.89917,                0.85758,                0.79203,                0.76229,                0.89917,                0.85744,                0.74975,                0.55742,                0.74167,                 0.7286,                 1.0442,             0.00034239,             0.00034239,             0.00034239
                     53,                0.64203,                0.49698,                0.82705,                 1.0834,                0.79438,                0.89426,                0.87713,                0.81342,                0.79438,                0.89426,                0.87743,                0.78254,                0.54533,                0.59135,                0.74295,                 1.0322,             0.00034014,             0.00034014,             0.00034014
                     54,                0.65273,                0.55778,                 0.8129,                 1.0791,                0.78225,                0.90773,                0.86717,                0.81019,                0.78792,                0.91467,                0.87358,                0.78615,                0.56575,                0.70113,                0.69532,                 1.0486,             0.00033788,             0.00033788,             0.00033788
                     55,                0.64932,                0.53146,                0.76869,                 1.0738,                 0.7883,                0.89896,                0.87313,                0.78944,                0.78948,                0.90265,                0.87204,                0.76579,                0.57776,                0.60141,                0.73669,                 1.0532,             0.00033563,             0.00033563,             0.00033563
                     56,                0.61908,                0.51356,                0.77312,                 1.0518,                0.81914,                0.86398,                  0.885,                0.82888,                0.82561,                0.87093,                0.89403,                0.79383,                0.55189,                0.65969,                 0.7512,                 1.0389,             0.00033338,             0.00033338,             0.00033338
                     57,                0.63432,                0.49596,                 0.7825,                  1.054,                0.81355,                0.90825,                0.87737,                0.80642,                0.81972,                0.91519,                0.88818,                0.78187,                0.54996,                 0.8553,                0.62934,                 1.0266,             0.00033113,             0.00033113,             0.00033113
