                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9832,                 5.8871,                 4.4413,                      0,                      0,                      0,                      0,                 5.6458,                 5.4075,                 4.1671,              0.0001071,              0.0001071,              0.0001071
                      2,                 4.3549,                 5.3327,                 4.2654,                      0,                      0,                      0,                      0,                 5.6694,                 5.4636,                 4.1887,             0.00021915,             0.00021915,             0.00021915
                      3,                 3.7843,                  4.385,                 3.9666,                      0,                      0,                      0,                      0,                 5.7248,                 5.6197,                 4.2462,             0.00032894,             0.00032894,             0.00032894
                      4,                 3.1818,                  3.681,                 3.5766,                      0,                      0,                      0,                      0,                 5.7815,                 5.7778,                 4.3198,             0.00043646,             0.00043646,             0.00043646
                      5,                 3.0491,                 3.5663,                 3.3077,                      0,                      0,                      0,                      0,                 5.7992,                  5.787,                 4.3519,             0.00054172,             0.00054172,             0.00054172
                      6,                 2.7841,                 3.3466,                 3.0314,                      0,                      0,                      0,                      0,                 5.6544,                  5.416,                 4.1955,             0.00064472,             0.00064472,             0.00064472
                      7,                 2.5557,                 3.1944,                 2.7623,                      0,                      0,                      0,                      0,                 4.9744,                  4.577,                 3.7047,             0.00067159,             0.00067159,             0.00067159
                      8,                  2.545,                 3.0368,                 2.5204,                0.00617,                 0.1325,                0.04484,                0.01647,                 3.0013,                 3.9854,                 3.0923,             0.00067159,             0.00067159,             0.00067159
                      9,                 2.3855,                 2.8112,                  2.307,                 0.9626,                0.06117,                0.07469,                0.02885,                  2.401,                 3.2125,                 2.5224,             0.00066452,             0.00066452,             0.00066452
                     10,                 2.2858,                 2.6655,                  2.197,                0.93184,                0.06738,                 0.0628,                0.01291,                 2.5461,                 2.9981,                 2.3214,             0.00065745,             0.00065745,             0.00065745
                     11,                 2.1661,                 2.5361,                 2.1054,                 0.9758,                0.07384,                0.09934,                0.03608,                 2.0925,                 3.1997,                 1.9834,             0.00065038,             0.00065038,             0.00065038
                     12,                 2.0031,                 2.4998,                 2.0207,                0.96888,                0.07535,                0.13096,                0.05969,                 1.7671,                 2.5588,                 1.9691,             0.00064331,             0.00064331,             0.00064331
                     13,                 1.8676,                 2.2876,                 1.9421,                0.96491,                0.10727,                0.14334,                0.08944,                 1.5375,                 2.2797,                  1.832,             0.00063625,             0.00063625,             0.00063625
                     14,                 1.7928,                 2.0691,                 1.8795,                0.96505,                 0.1117,                0.18738,                0.09567,                 1.6023,                 2.2581,                 1.8808,             0.00062918,             0.00062918,             0.00062918
                     15,                 1.7304,                 2.0058,                 1.7555,                0.97646,                0.09663,                0.16823,                0.07527,                 1.6848,                 2.5072,                 1.9119,             0.00062211,             0.00062211,             0.00062211
                     16,                 1.5329,                 1.7543,                 1.6112,                0.84812,                0.11613,                0.15683,                0.10059,                  1.297,                 2.0027,                 1.5834,             0.00061504,             0.00061504,             0.00061504
                     17,                 1.5891,                  1.856,                  1.685,                0.97978,                0.11028,                0.19374,                  0.122,                 1.2922,                 2.0196,                 1.5699,             0.00060797,             0.00060797,             0.00060797
                     18,                 1.5049,                 1.8837,                 1.6402,                0.72893,                 0.1093,                 0.1592,                0.11078,                 1.1764,                 1.7232,                 1.4542,              0.0006009,              0.0006009,              0.0006009
                     19,                 1.5208,                 1.8532,                 1.6456,                 0.8525,                0.11613,                0.16424,                0.10822,                 1.3507,                 1.8038,                 1.4151,             0.00059383,             0.00059383,             0.00059383
                     20,                 1.3959,                  1.676,                 1.5312,                0.59448,                0.12847,                0.21283,                0.12959,                 1.1874,                 2.0338,                 1.4319,             0.00058677,             0.00058677,             0.00058677
                     21,                 1.3086,                 1.5285,                 1.4765,                0.45036,                0.20851,                0.20437,                0.13283,                 1.1212,                 1.5669,                 1.3087,              0.0005797,              0.0005797,              0.0005797
                     22,                 1.2791,                 1.4607,                 1.4232,                0.62345,                0.15643,                0.22045,                 0.1319,                 1.1399,                 1.7412,                 1.3878,             0.00057263,             0.00057263,             0.00057263
                     23,                 1.3089,                 1.5076,                 1.4414,                0.44109,                0.17442,                0.17983,                 0.1206,                 1.1061,                 1.5287,                 1.3858,             0.00056556,             0.00056556,             0.00056556
                     24,                 1.2522,                 1.3847,                 1.4035,                0.71292,                0.22157,                0.24965,                0.14828,                 1.0495,                 1.5494,                 1.3116,             0.00055849,             0.00055849,             0.00055849
                     25,                 1.2474,                  1.462,                 1.4555,                0.28282,                0.28077,                0.25196,                0.15799,                 1.1182,                 1.3285,                 1.3038,             0.00055142,             0.00055142,             0.00055142
                     26,                 1.2305,                  1.359,                 1.3957,                0.74103,                0.25018,                0.28223,                0.17663,                 1.0233,                 1.2279,                 1.2281,             0.00054435,             0.00054435,             0.00054435
                     27,                 1.2018,                 1.2782,                 1.3809,                0.76227,                 0.1317,                0.23015,                0.14319,                 1.0704,                 1.5007,                 1.3245,             0.00053728,             0.00053728,             0.00053728
